video,frame,label
video (1).avi,1,1
video (1).avi,2,1
video (1).avi,3,1
video (1).avi,4,1
video (1).avi,5,1
video (1).avi,6,1
video (1).avi,7,1
video (1).avi,8,1
video (1).avi,9,1
video (1).avi,10,1
video (1).avi,11,1
video (1).avi,12,1
video (1).avi,13,1
video (1).avi,14,1
video (1).avi,15,1
video (1).avi,16,1
video (1).avi,17,1
video (1).avi,18,1
video (1).avi,19,1
video (1).avi,20,1
video (1).avi,21,1
video (1).avi,22,1
video (1).avi,23,1
video (1).avi,24,1
video (1).avi,25,1
video (1).avi,26,1
video (1).avi,27,1
video (1).avi,28,1
video (1).avi,29,1
video (1).avi,30,1
video (1).avi,31,1
video (1).avi,32,1
video (1).avi,33,1
video (1).avi,34,1
video (1).avi,35,1
video (1).avi,36,1
video (1).avi,37,1
video (1).avi,38,1
video (1).avi,39,1
video (1).avi,40,1
video (1).avi,41,1
video (1).avi,42,1
video (1).avi,43,1
video (1).avi,44,1
video (1).avi,45,1
video (1).avi,46,1
video (1).avi,47,1
video (1).avi,48,1
video (1).avi,49,1
video (1).avi,50,1
video (1).avi,51,1
video (1).avi,52,1
video (1).avi,53,1
video (1).avi,54,1
video (1).avi,55,1
video (1).avi,56,1
video (1).avi,57,1
video (1).avi,58,1
video (1).avi,59,1
video (1).avi,60,1
video (1).avi,61,1
video (1).avi,62,1
video (1).avi,63,1
video (1).avi,64,1
video (1).avi,65,1
video (1).avi,66,3
video (1).avi,67,3
video (1).avi,68,3
video (1).avi,69,3
video (1).avi,70,3
video (1).avi,71,3
video (1).avi,72,3
video (1).avi,73,3
video (1).avi,74,3
video (1).avi,75,3
video (1).avi,76,3
video (1).avi,77,3
video (1).avi,78,3
video (1).avi,79,3
video (1).avi,80,3
video (1).avi,81,3
video (1).avi,82,3
video (1).avi,83,3
video (1).avi,84,3
video (1).avi,85,3
video (1).avi,86,3
video (1).avi,87,3
video (1).avi,88,3
video (1).avi,89,3
video (1).avi,90,3
video (1).avi,91,3
video (1).avi,92,3
video (1).avi,93,3
video (1).avi,94,3
video (1).avi,95,3
video (1).avi,96,3
video (1).avi,97,3
video (1).avi,98,3
video (1).avi,99,3
video (1).avi,100,3
video (1).avi,101,3
video (1).avi,102,3
video (1).avi,103,3
video (1).avi,104,3
video (1).avi,105,0
video (1).avi,106,0
video (1).avi,107,0
video (1).avi,108,0
video (1).avi,109,0
video (1).avi,110,0
video (1).avi,111,0
video (1).avi,112,0
video (1).avi,113,0
video (1).avi,114,0
video (1).avi,115,0
video (1).avi,116,0
video (1).avi,117,0
video (1).avi,118,0
video (1).avi,119,0
video (1).avi,120,0
video (1).avi,121,0
video (1).avi,122,0
video (1).avi,123,0
video (1).avi,124,0
video (1).avi,125,0
video (1).avi,126,0
video (1).avi,127,0
video (1).avi,128,0
video (1).avi,129,0
video (1).avi,130,0
video (1).avi,131,0
video (1).avi,132,0
video (1).avi,133,0
video (1).avi,134,0
video (1).avi,135,0
video (1).avi,136,0
video (1).avi,137,0
video (1).avi,138,0
video (1).avi,139,0
video (1).avi,140,0
video (1).avi,141,0
video (1).avi,142,0
video (1).avi,143,5
video (1).avi,144,5
video (1).avi,145,5
video (1).avi,146,5
video (1).avi,147,5
video (1).avi,148,5
video (1).avi,149,5
video (1).avi,150,5
video (1).avi,151,5
video (1).avi,152,5
video (1).avi,153,5
video (1).avi,154,5
video (1).avi,155,5
video (1).avi,156,5
video (1).avi,157,5
video (1).avi,158,5
video (1).avi,159,5
video (1).avi,160,5
video (1).avi,161,5
video (1).avi,162,5
video (1).avi,163,5
video (1).avi,164,5
video (1).avi,165,5
video (1).avi,166,5
video (1).avi,167,5
video (1).avi,168,5
video (1).avi,169,5
video (1).avi,170,5
video (1).avi,171,5
video (1).avi,172,5
video (1).avi,173,5
video (1).avi,174,5
video (1).avi,175,5
video (1).avi,176,2
video (1).avi,177,2
video (1).avi,178,2
video (1).avi,179,2
video (1).avi,180,2
video (1).avi,181,2
video (1).avi,182,2
video (1).avi,183,2
video (1).avi,184,2
video (1).avi,185,2
video (1).avi,186,2
video (1).avi,187,2
video (1).avi,188,2
video (1).avi,189,2
video (1).avi,190,2
video (1).avi,191,2
video (1).avi,192,2
video (1).avi,193,2
video (1).avi,194,2
video (1).avi,195,2
video (1).avi,196,2
video (1).avi,197,2
video (1).avi,198,2
video (1).avi,199,2
video (1).avi,200,2
video (1).avi,201,2
video (1).avi,202,2
video (1).avi,203,2
video (1).avi,204,2
video (1).avi,205,2
video (1).avi,206,2
video (1).avi,207,2
video (1).avi,208,2
video (1).avi,209,2
video (1).avi,210,2
video (1).avi,211,2
video (1).avi,212,2
video (1).avi,213,2
video (1).avi,214,2
video (1).avi,215,2
video (1).avi,216,2
video (1).avi,217,2
video (1).avi,218,2
video (1).avi,219,2
video (1).avi,220,2
video (1).avi,221,2
video (1).avi,222,2
video (1).avi,223,2
video (1).avi,224,2
video (1).avi,225,2
video (1).avi,226,2
video (1).avi,227,2
video (1).avi,228,2
video (1).avi,229,2
